Category,Type,Color,Icon Color,Icon,Prefix,Name,Address,Latitude,Longitude
Tech startups,Startups,black,white,desktop,fa,Jekyll Startups,"Pg. de Gràcia, 25, 1-1, Barcelona",41.3904064,2.16615
Tech startups,Startups,black,white,desktop,fa,Hill Planet Labs - Consultora Startups,"Carrèr de Tànger, 86, Barcelona",41.401776,2.1923792
Tech startups,Startups,black,white,desktop,fa,StartWars Lab,"Pça. de Tetuan, 38, Barcelona",41.3951871,2.1764519
Tech startups,Startups,black,white,desktop,fa,Bcombinator - Aceleradora y Coworking en Barcelona,"C/ de Badajoz, 32, Barcelona",41.39593199999999,2.1991961
Tech startups,Startups,black,white,desktop,fa,Barcelona Startup Congress,"C. de Pujades, 86, Barcelona",41.3958233,2.1931707
Tech startups,Startups,black,white,desktop,fa,MarsBased,"C/ de Sardenya, 470, 2n, 1a, Barcelona",41.4095849,2.1654591
Tech startups,Startups,black,white,desktop,fa,Reboot Studio - We build digital products,"C/ dels Almogàvers, 165, Barcelona",41.3996611,2.1928924
Tech startups,Startups,black,white,desktop,fa,Belvo,"C/ de Ramon Turró, 23, Barcelona",41.391904,2.1920946
Tech startups,Startups,black,white,desktop,fa,Finboot,"Carrèr de Tànger, 86, Planta 1, Barcelona",41.40178119999999,2.1924194
Tech startups,Startups,black,white,desktop,fa,AccelGrow,"Via Laietana, 39, Barcelona",41.3859277,2.1758716
Tech startups,Startups,black,white,desktop,fa,Sttok,"C/ d'Ausiàs Marc, 7, 3, Barcelona",41.3902836,2.1736737
Tech startups,Startups,black,white,desktop,fa,Summer Startup School,"C/ de Llull, 321, Barcelona",41.4073011,2.2093472
Tech startups,Startups,black,white,desktop,fa,TribuApp Oficina Plaça Catalunya,"Pl. de Catalunya, 21, 1-2, Barcelona",41.3858829,2.1708111
Tech startups,Startups,black,white,desktop,fa,FARSIDE VENTURES SL,"Av. Diagonal, 359A, Planta Principal, Barcelona",41.3974413,2.1640483
Tech startups,Startups,black,white,desktop,fa,Wagmi Venture Studio,"Passatge Sert, 1, Barcelona",41.3892813,2.1765185
Tech startups,Startups,black,white,desktop,fa,Kanecode,"C/ de Sardenya, 56, Local 01, Barcelona",41.3907715,2.1903384
Tech startups,Startups,black,white,desktop,fa,Itnig Coworking,"C. de Pujades, 100, Barcelona",41.3964374,2.1941478
Tech startups,Startups,black,white,desktop,fa,EXPAI,"Carrèr de Tànger, 86, Barcelona",41.401776,2.1923792
Tech startups,Startups,black,white,desktop,fa,Just. Digital Barcelona,"Passatge de Gaiolà, 13, Barcelona",41.4003805,2.1714442
Tech startups,Startups,black,white,desktop,fa,Thoughtworks Barcelona,"Edifici Media-TIC, Carrer de Roc Boronat, 117, 8ª Planta, Barcelona",41.40247919999999,2.1945191
